X,Y,Branch Nam,Address,City,St/Prov,Zip/Postal,Country,result_num,osm_id,display_na,category,type,latlong,icon_url
-71.8336830747914,42.2234859964256,Auburn SPI,14 Sword Street,Auburn,MA,"1501",USA,"0","9055905","14, Sword Street, Woodland Park, Auburn, Worcester County, Massachusetts, 01501, United States",place,house,"42.223485996425616,-71.83368307479142",./0.png
-72.992698,41.2466685,West Haven SPI,57 Robinson Blvd,Orange,CT,"6477",USA,"0","8639172475","53-57, Robinson Boulevard, Orange, New Haven County, Connecticut, 06477, United States",place,house,"41.2466685,-72.992698",./0.png
-75.0898745892268,39.8632513351168,Bellmawr SPI,31 Heller Road,Bellmawr,NJ,"8031",USA,"0","11592864","31, Heller Road, Interstate Business Park, Bellmawr, Camden County, New Jersey, 08031, United States",place,house,"39.863251335116836,-75.08987458922678",./0.png
-76.0247457,42.1076302,Endwell SPI,3125 Pearl Street,Endwell,NY,"13760",USA,"0","8793458012","ABC Supply Co, 3125, Pearl Street, Endwell, Endicott, Union Town, Broome County, New York, 13760, United States",shop,wholesale,"42.1076302,-76.0247457",./0.png
-77.6482997,43.1562154,Rochester SPI,860 Maple Street,Rochester,NY,"14611",USA,"0","8785865274","860, Maple Street, Dutchtown, Lincoln Park, Rochester, Monroe County, New York, 14611, United States",place,house,"43.1562154,-77.6482997",./0.png
-76.1047335971067,43.0868441,Syracuse SPI,6439 Deere Road,Syracuse,NY,"13206",USA,"0","220971130","6439, Deere Road, Syracuse, Onondaga County, New York, 13206, United States",building,yes,"43.0868441,-76.10473359710666",./0.png
-76.35638,40.082366,Lancaster SPI,1600 Cloister Drive,Lancaster,PA,"17601",USA,"0","45901111","1600, Cloister Drive, Florys Mill, Lancaster County, Pennsylvania, 17601, United States",place,house,"40.082366,-76.35638",./0.png
-80.0606439,40.4660772,Pittsburgh SPI,1360 Island Avenue,Mckees Rocks,PA,"15136",USA,"0","521595113","Island Avenue, McKees Rocks, Allegheny County, Pennsylvania, 15136, United States",highway,primary,"40.4660772,-80.0606439",./0.png
-80.8247750651117,35.2704807971833,Charlotte SPI,3300A Woodpark Blvd,Charlotte,NC,"28206",USA,"0","16692330","3300, Woodpark Boulevard, Atando Junction, Charlotte, Mecklenburg County, North Carolina, 28206, United States",place,house,"35.270480797183346,-80.82477506511171",./0.png
-79.7954483409783,36.0299087913765,Greensboro SPI,207A Creek Ridge Road,Greensboro,NC,"27406",USA,"0","16597235","207, Creek Ridge Road, Rocky Knoll, Greensboro, Guilford County, North Carolina, 27406, United States",place,house,"36.02990879137652,-79.79544834097831",./0.png
-78.6355861024597,35.8022811017812,Raleigh SPI,1513 Sunrise Avenue,Raleigh,NC,"27608",USA,"0","18892541","1513, Sunrise Avenue, Five Points, Raleigh, Wake County, North Carolina, 27608, United States",place,house,"35.802281101781205,-78.63558610245974",./0.png
-77.8394337142857,34.2600796428571,Wilmington SPI,216 Old Dairy Road,Wilmington,NC,"28405",USA,"0","16689559","216, Old Dairy Road, Wilmington, New Hanover County, North Carolina, 28405, United States",place,house,"34.26007964285714,-77.83943371428572",./0.png
-80.0096772651822,32.9034649238232,Charleston SPI,5906 Loftis Road,Hanahan,SC,"29410",USA,"0","10829612","5906, Loftis Road, Belvedere, Hanahan, Berkeley County, South Carolina, 29410, United States",place,house,"32.9034649238232,-80.00967726518223",./0.png
-81.8723084,26.640628,Fort Myers SPI,,Fort Myers,FL,"33905",USA,"0","118879","Fort Myers, Lee County, Florida, United States",boundary,administrative,"26.640628,-81.8723084",./0.png
-80.3424571,25.8706873,Miami SPI,11200 NW 107th Street,Miami,FL,"33178",USA,"0","11161235","Northwest 107th Street, Hialeah Gardens, Miami-Dade County, Florida, 3301811, United States",highway,residential,"25.8706873,-80.3424571",./0.png
-81.7577703,30.3160579,Jacksonville SPI,6803 Stuart Lane South,Jacksonville,FL,"32254",USA,"0","8689327849","6803, Stuart Lane South, Jacksonville, Duval County, Florida, 32254, United States",place,house,"30.3160579,-81.7577703",./0.png
-81.4295254063472,28.5088081308564,Orlando SPI,4189 L.B. McLeod Road,Orlando,FL,"32811",USA,"0","83671502","4189, L.B. McLeod Road, Orlando, Orange County, Florida, 32811, United States",place,house,"28.508808130856405,-81.42952540634724",./0.png
-80.1445309341641,26.0887429715496,Ft Lauderdale SPI,2816 SW 3rd Ave,Ft Lauderdale,FL,"33315",USA,"0","88317608","2816, Southwest 3rd Avenue, Fort Lauderdale, Broward County, Florida, 33315, United States",place,house,"26.08874297154955,-80.14453093416412",./0.png
-82.405532313253,27.9543449919679,Tampa SPI,4701 Acline Drive,Tampa,FL,"33605",USA,"0","11001562","4701, Acline Drive East, Tampa, Hillsborough County, Florida, 33605, United States",place,house,"27.954344991967872,-82.405532313253",./0.png
-82.1225931247351,33.5511361834482,Augusta SPI,680 Industrial Park Drive,Evans,GA,"30809",USA,"0","90034037","680, Industrial Park Drive, Evans, Columbia County, Georgia, 30809, United States",place,house,"33.55113618344824,-82.12259312473512",./0.png
-81.1387580517241,32.0826284137931,Savannah SPI,291 Telfair Road,Savannah,GA,"31401",USA,"0","632986519","291, Telfair Road, Savannah, Chatham County, Georgia, 31415, United States",place,house,"32.0826284137931,-81.13875805172414",./0.png
-82.520834486329,36.4400767092484,Kingsport SPI,552 Eastern Star Road,Kingsport,TN,"37663",USA,"0","163358156","552, Eastern Star Road, Kingsport, Sullivan County, Tennessee, 37663, United States",place,house,"36.440076709248416,-82.52083448632895",./0.png
-86.7482809341664,36.2089943804099,Nashville SPI,3340 Ambrose Avenue,Nashville,TN,"37207",USA,"0","19458088","3340, Ambrose Avenue, Nashville-Davidson, Davidson County, Tennessee, 37207, United States",place,house,"36.208994380409905,-86.74828093416637",./0.png
-85.6617349,38.1698405,Louisville SPI,5412 Shepherdsville Road,Louisville,KY,"40228",USA,"0","3434414186","5412, Shepherdsville Road, Newburg, Louisville, Jefferson County, Kentucky, 40228, United States",place,house,"38.1698405,-85.6617349",./0.png
-87.5657481111111,37.9889254444444,Evansville SPI,1310 Baker Avenue,Evansville,IN,"47710",USA,"0","17565891","1310, Baker Avenue, Evansville, Vanderburgh County, Indiana, 47710, United States",place,house,"37.98892544444445,-87.56574811111112",./0.png
-86.1580297848439,39.7685148,Indianapolis SPI,,Indianapolis,IN,"46226",USA,"0","339773760","Soldiers and Sailors Monument, 1, Monument Circle, Indianapolis, Marion County, Indiana, 46204, United States",tourism,attraction,"39.7685148,-86.15802978484388",./0.png
-88.0407872910053,41.9831677724868,Chicago SPI,1420 W. Thorndale Avenue,Itasca,IL,"60143",USA,"0","22103872","1420, West Thorndale Avenue, Spring Lake Executive Center, Itasca, DuPage County, Illinois, 60143, United States",place,house,"41.98316777248677,-88.04078729100529",./0.png
-87.8342362,42.2789117,Lake Bluff SPI,,Lake Bluff,IL,"60044",USA,"0","122070","Lake Bluff, Lake County, Illinois, 60044, United States",boundary,administrative,"42.2789117,-87.8342362",./0.png
-91.2030328,30.4491872,Baton Rouge SPI,1849 south River Road,port allen,LA,"70802",USA,"0","13532144","South River Road, West Baton Rouge, Port Allen, West Baton Rouge Parish, Louisiana, 70767, United States",highway,secondary,"30.4491872,-91.2030328",./0.png
-94.5704671616162,39.1368577878788,Kansas City SPI,1700 Jasper Street,North Kansas City,MO,"64116",USA,"0","18417276","1700, Jasper Street, North Kansas City, Clay County, Missouri, 64116, United States",place,house,"39.13685778787879,-94.57046716161616",./0.png
-96.880592877551,37.8248178979592,El Dorado SPI,2310 West 6th Avenue,El Dorado,KS,"67042",USA,"0","12996138","2310, West 6th Avenue, El Dorado Suburbs, El Dorado, Butler County, Kansas, 67042, United States",place,house,"37.824817897959186,-96.88059287755102",./0.png
-95.8912215718448,36.1081456279092,Tulsa SPI,7201 E. 38th Street,Tulsa,OK,"74145",USA,"0","110083918","7201, East 38th Street, Fulton, Tulsa, Tulsa County, Oklahoma, 74145, United States",place,house,"36.1081456279092,-95.89122157184477",./0.png
-97.7648525,30.21604,Austin SPI,207 E St Elmo Rd,Austin,TX,"78745",USA,"0","384255448","207, East Saint Elmo Road, St. Elmo, Austin, Travis County, Texas, 78745, United States",building,yes,"30.21604,-97.76485249999999",./0.png
-94.1176547346939,30.0747255102041,Beaumont SPI,2975 Crockett Street,Beaumont,TX,"77701",USA,"0","181598691","2975, Crockett Street, Beaumont, Jefferson County, Texas, 77701, United States",place,house,"30.07472551020408,-94.11765473469387",./0.png
-97.461128093121,27.7845406959091,Corpus Christi SPI,142 Flato Road,Corpus Christi,TX,"78405",USA,"0","21153633","142, Flato Road, Corpus Christi, Nueces County, Texas, 78405, United States",place,house,"27.784540695909133,-97.46112809312103",./0.png
-97.048446995074,32.7878640896275,Dallas SPI,1142 Avenue S,Grand Prairie,TX,"75050",USA,"0","10065755","1142, Avenue South, Grand Prairie, Tarrant County, Texas, 75050, United States",place,house,"32.78786408962754,-97.048446995074",./0.png
-95.0193729,29.6657838,La Porte  SPI,,La Porte,TX,"77571",USA,"0","115364","La Porte, Harris County, Texas, 77571, United States",boundary,administrative,"29.6657838,-95.0193729",./0.png
-95.39802325,29.81848095,Houston Yale St SPI,3556 Yale Street,Houston,TX,"77018",USA,"0","373365582","3502-3556, Yale Street, Independence Heights, Houston, Harris County, Texas, 77018, United States",building,yes,"29.81848095,-95.39802325",./0.png
-95.407759,29.0662539,Freeport SPI,tx 228 business,Richwood,TX,"77531",USA,"0","20719070","Brazosport Boulevard North, Richwood, Brazoria County, Texas, 77531, United States",highway,primary,"29.0662539,-95.407759",./0.png
-98.433376989899,29.449524030303,San Antonio SPI,1833 Hormel Drive,San Antonio,TX,"78219",USA,"0","15132638","1833, Hormel Drive, San Antonio, Bexar County, Texas, 78219, United States",place,house,"29.449524030303028,-98.433376989899",./0.png
-97.9552933877551,29.5948133673469,Seguin SPI,2511 N. Heideke Street,Seguin,TX,"78155",USA,"0","27461668","2511, North Heideke Street, A & A Subdivision, Seguin, Guadalupe County, Texas, 78155, United States",place,house,"29.594813367346937,-97.95529338775509",./0.png
-104.919912526046,39.7831916948373,Denver SPI,4770 Ivy Street,Denver,CO,"80216",USA,"0","16988036","4770, Ivy Street, Denver, Denver County, Colorado, 80216, United States",place,house,"39.78319169483726,-104.91991252604615",./0.png
-111.8933165,40.7628814,Salt Lake City SPI,945 West 2900 Street,Salt Lake City,UT,"84119",USA,"0","675221058","West Broadway, Salt Lake City, Salt Lake County, Utah, 841010, United States",highway,tertiary,"40.7628814,-111.8933165",./0.png
-116.3696121,43.6100764,Boise SPI,2000 E. Commercial,Meridian,ID,"83642",USA,"0","8331486597","2000, East Commercial Street, Meridian, Ada County, Idaho, 83642, United States",place,house,"43.6100764,-116.3696121",./0.png
-122.902098,42.3482721428571,Medford SPI,970 Mason Way,Medford,OR,"97501",USA,"0","5162023","970, Mason Way, Medford, Jackson County, Oregon, 97501, United States",place,house,"42.34827214285714,-122.902098",./0.png
-122.6014541,45.570969,Portland SPI,6709 NE 59th Place,Portland,OR,"97218",USA,"0","5524685","Northeast 59th Place, Cully, Portland, Multnomah County, Oregon, 97218, United States",highway,unclassified,"45.570969,-122.6014541",./0.png
-119.2174724,46.2156316,Kennewick SPI,6416 West Hood Place,Kennewick,Washington,"99336",USA,"0","5836551","West Hood Place, Kennewick, Benton County, Washington, 99336-1117, United States",highway,residential,"46.2156316,-119.2174724",./0.png
-122.2569774,47.4380453,Seattle SPI,18270 Segale Park Drive B,Tukwila,WA,"98188",USA,"0","6136936960","18270, Segale Park Drive B, Segale Industrial Park, Tukwila, King County, Washington, 98188, United States",place,house,"47.4380453,-122.2569774",./0.png
-87.0670509649183,34.623709,Decatur GA SPI,,Decatur,GA,"30034",USA,"0","33037350","Decatur, Morgan County, Alabama, United States",boundary,administrative,"34.623709,-87.06705096491828",./0.png
-80.1445309341641,26.0887429715496,Ft Lauderdale SPI,2816 SW 3rd Ave,Ft Lauderdale,FL,"33315",USA,"0","88317608","2816, Southwest 3rd Avenue, Fort Lauderdale, Broward County, Florida, 33315, United States",place,house,"26.08874297154955,-80.14453093416412",./0.png
-81.469473203125,41.3751625,"Solon, OH SPI",6810 Cochran Rd,Solon,OH,"44139",USA,"0","348347303","6810, Cochran Road, Solon, Cuyahoga County, Ohio, 44139, United States",place,house,"41.3751625,-81.469473203125",./0.png
-76.8161622,39.1007913,Laurel MD SPI,9125 Whiskey Bottom Road,Laurel,MD,"20723",USA,"0","954777858","Whiskey Bottom Road, Pines of Laurel, Russett, Anne Arundel County, Maryland, 20724, United States",highway,tertiary,"39.1007913,-76.8161622",./0.png
-77.1065980516396,38.8079477641966,Alexandria SPI,4315 - 4317 Wheeler Ave,Alexandria,VA,"22304",USA,"0","619598750","4315, Wheeler Avenue, Patrick Henry, Wakefield, Alexandria, Virginia, 22304, United States",place,house,"38.80794776419662,-77.10659805163964",./0.png
-104.9879641,39.6482059,Englewood SPI,,Englewood,CO,"80110",USA,"0","7243979","Englewood, Arapahoe County, Colorado, United States",boundary,administrative,"39.6482059,-104.9879641",./0.png
-88.1872474,32.5843026,Livingston SPI,,Livingston,mt,"59047",USA,"0","32980606","Livingston, Sumter County, Alabama, 35470, United States",boundary,administrative,"32.5843026,-88.1872474",./0.png
-81.469473203125,41.3751625,"Solon, OH SPI",6810 Cochran Rd,Solon,OH,"44139",USA,"0","348347303","6810, Cochran Road, Solon, Cuyahoga County, Ohio, 44139, United States",place,house,"41.3751625,-81.469473203125",./0.png
-113.989269,51.0340789,Calgary SPI,6703-30 ST SE,Calgary,AB,T2C 1N6,Canada,"0","4860778","30 Street SE, Southview, Calgary, Alberta, T2B 2P2, Canada",highway,residential,"51.0340789,-113.989269",./0.png
-113.638635,53.5752885,Edmonton SPI,12416 184 Street NW,Edmonton,AB,T5V 1T4,Canada,"0","472626782","184 Street NW, Kinokamau Plains Area, Edmonton, St. Albert (city), Alberta, T5S 0J1, Canada",highway,secondary,"53.5752885,-113.638635",./0.png
-122.9375347,49.2602805,Burnaby SPI,3220 Lake City Way,Burnaby,BC,V5A 3A4,Canada,"0","64136959","Lake City Way, Burnaby, District of North Vancouver, Metro Vancouver Regional District, British Columbia, V5A 1V1, Canada",highway,tertiary,"49.2602805,-122.9375347",./0.png
